Audios/all_raw/RhBb77hG0iw_Nerga3 Tany - Hamoot Wa Arga3 _ Tamer Hosny - نرجع تاني - هموت و ارجع.wav,0:24.8
Audios/all_raw/v0UvOsCi8mc_ไม่เคย - 25hours「Official MV」.wav,0:26
Audios/all_raw/bd5m12UEHWI_Duo Anggrek - Goyang Nasi Padang (Official Music Video NAGASWARA) #goyangnasipdg.wav,0:30
Audios/all_raw/V-ar6MLjy5o_357 - BAKLJA (originalni video) BAKLJA 2017.wav,0:30.9
Audios/all_raw/gwsaElRJI2M_Kayblack - A Cunhada (prod. Wall Hein e DJ RB).wav,0:32.5
Audios/all_raw_separated/8MAWFIM-2aI_Enamorado_accompaniment.wav,0:34.6
Audios/all_raw/D9ffTk7-2aI_Base de Rap _ Boom Bap _ Agresivo _ Underground _ Freestyle Beat _ Hip Hop Instrumental.wav,0:36
Audios/all_raw_separated/dl6vG66m1e8_Ilkay Sencan & Mert Hakan - Let Me_accompaniment.wav,0:36.5
Audios/all_raw/n4HTXYR-2AI_Sadhguru - D Neutrons Music _ Turban Trap.wav,0:41.9
Audios/all_raw_separated/3ObVN3QQiZ8_Nancy Ajram - Oul Tani Keda (Official Music Video) _ نانسي عجرم - قول تاني كده_accompaniment.wav,0:43.4
Audios/all_raw/D6uH2mKJRUA_Huz - Curious (Original Mix).wav,0:45
Audios/all_raw_separated/UGTYqTKUl8w_Rostás Tünde - Szerelmes szavaim-Official ZG Stars' video_accompaniment.wav,0:52.1
Audios/all_raw/9DP0yMwvyWE_Fidel Rueda - Tu Ya Eres Cosa Del Pasado.wav,0:52.3
Audios/all_raw/SubIr_Fyp4M_TiiwTiiw - NO ME INTERESA (Clip officiel Khosé ).wav,0:59.4
Audios/all_raw_separated/jII5qoCrzYE_MJ (써니사이드) - +2kg (feat. 효빈) [Lyric Video]_accompaniment.wav,1:03.4
Audios/all_raw/SZaZU_qi6Xc_Carole Samaha - Esma'ny (Official Music Video) _ كاروول سماحة - إسمعني - الكليب الرسمي.wav,1:29.1
Audios/all_raw/ulj-L3K_Gzs_Joey Briggs 'The Sun Will Shine' (Official Music Video).wav,1:45
audio_file,intro_location
